CYB5D2	ANKFY1
CYB5R3	TXNIP
CYP1A2	SPG21
CYP2C19	PDE6C
CYTH1	EIF3H
CYTH1	PRPSAP1
DAB1	FAM46C
DARS2	ZFR
DCAF7	PRR11
DCLK1	COL3A1
DCUN1D1	ATP11B
DDX5	DEPTOR
DDX5	ETV4
DEK	NUP214
DENND1A	ANXA4
DENND4A	RAB11A
DEPDC1B	ELOVL7
DGKG	BST1
DHX35	ITCH
DIDO1	REPS1
DLEU2	PSPC1
DLGAP4	ADNP
DMRT1	BCL6
DNAJA2	COL14A1
DNAJB6	SHH
DNAJC11	NOTCH2
DNM2	ILF3
DNM2	KCNN1
DNM2	PIN1
DSCAML1	MLL
DTNB	SPTLC1
DUS4L	ANKRD7
DUS4L	BCAP29
DUSP10	PRDM16
EBF1	LOC204010
EBF1	PDGFRB
EDA	MID1
EEF1G	PPP6R3
EFCAB4A	WDTC1
EFTUD2	KIF18B
EGFR	POLD1
EHBP1	FAM161A
EHHADH	SENP5
EIF2AK3	PRKD3
EIF3E	RSPO2
EIF3H	FAM65C
EIF3K	CYP39A1
EIF3M	MPPED2
EIF4A2	BCL6
EIF4EBP1	C9ORF53
EIF4EBP1	PRKAA1
EIF4G1	ABCC5
EIF4G3	LRRC8D
ELAC1	SMAD4
ELF2	MLL
ELF3	SLC39A6
ELF4	ERG
ELL	CYLN2
EML1	ABL1
EML4	ALK
ENDOD1	WASH2P
ENOX1	ETFA
ENOX1	TYRO3
EOMES	SLC4A7
EP400	PHF1
EPC1	PHF1
EPCAM	DLEC1
EPHA2	CTSD
EPN1	COL1A1
ERBB2IP	MAST4
ERBB2	PGAP3
ERBB3	CRADD
ERC1	ANO2
ERC1	PDGFRB
ERC1	RET
ERC1	SPI1
ERG	GMPR
ERO1L	FERMT2
ESR1	CCDC170
ESRP1	RAF1
ESRRA	C11ORF20
EST14	ETV1
ETS1	NEGR1
ETS2	ERG
ETV6	ABL1
ETV6	ABL2
ETV6	ACSL6
ETV6	ARNT
ETV6	BAZ2A
ETV6	CDX2
ETV6	FGFR3
ETV6	FLT3
ETV6	FRK
ETV6	GOT1
ETV6	INO80D
ETV6	ITPR2
ETV6	JAK2
ETV6	MDS2
ETV6	MECOM
ETV6	NCOA2
ETV6	NTRK3
ETV6	PDGFRA
ETV6	PDGFRB
ETV6	PER1
ETV6	PRDM16
ETV6	PTPRR
ETV6	RUNX1
ETV6	STL
ETV6	SYK
EWSR1	ATF1
EWSR1	CREB1
EWSR1	CREB3L1
EWSR1	DDIT3
EWSR1	ERG
EWSR1	ETV1
EWSR1	ETV4
EWSR1	FEV
EWSR1	FLI1
EWSR1	NFATC2
EWSR1	NR4A3
EWSR1	PATZ1
EWSR1	PBX1
EWSR1	POU5F1
EWSR1	SMARCA5
EWSR1	SP3
EWSR1	WT1
EWSR1	ZNF384
EWSR1	ZNF444
EXOC3	ERGIC1
EXOC7	CYTH1
EYS	DEK
EZR	ROS1
FAM102A	CIZ1
FAM104A	C17ORF80
FAM117B	BMPR2
FAM131B	BRAF
FAM134B	CDH18
FAM151B	CASP12
FAM176A	TTC28
FAM190A	UGT2A1
FAM190B	CYP2C19
FAM219A	S1PR5
FAM49A	RIF1
FAM50B	PPP1R3G
FAM83B	HTR1E
FBXL20	CRKRS
FBXL20	SNF8
FBXO25	BET1L
FCHSD1	BRAF
FCRL4	IQGAP3
FGFR1OP2	FGFR1
FGFR1OP	FGFR1
FGFR1OP	RET
FGFR1	PLAG1
FGFR1	TACC1
FGFR2	CIT
FGFR3	BAIAP2L1
FGFR3	TACC3
FIP1L1	PDGFRA
FIP1L1	RARA
FKBP5	TMPRSS2	ERG
FLJ35294	ETV1
FLNA	ABCA2
FLNB	VPS8
FOCAD	CDKN2A
FOSL2	BRE
FOXG1	NPAS3
FOXJ3	CAMTA1
FOXO1	FGFR1
FOXP1	ABL1
FOXP1	ETV1
FRS2	RAP1B
FRYL	SH2D1A
FSTL3	CCND1
FTH1	EIF5A
FTL	ADD3
FTL	SFTPA2
FUBP1	ETV1
FUS	ATF1
